EmployeeID,Date,InTime,OutTime,Status
E0001,2024-07-01,09:00,18:30,Present
E0001,2024-07-02,09:10,18:00,Present
E0001,2024-07-03,,,Absent
E0001,2024-07-04,10:00,18:15,Present
E0001,2024-07-05,,,Absent
E0001,2024-07-08,09:10,18:15,Present
E0001,2024-07-09,,,Leave
E0001,2024-07-10,,,Leave
E0001,2024-07-11,09:15,18:00,Present
E0001,2024-07-12,,,Absent
E0001,2024-07-15,09:00,18:15,Present
E0001,2024-07-16,10:00,18:15,Present
E0001,2024-07-17,10:00,18:15,Present
E0001,2024-07-18,09:30,18:10,Present
E0001,2024-07-19,09:15,18:00,Present
E0001,2024-07-22,09:00,18:10,Present
E0001,2024-07-23,,,Leave
E0001,2024-07-24,09:00,18:00,Wfh
E0001,2024-07-25,09:00,18:00,Present
E0001,2024-07-26,09:10,18:15,Present
E0001,2024-07-29,09:15,18:15,Present
E0001,2024-07-30,09:30,18:30,Wfh
E0001,2024-07-31,09:15,18:00,Present
E0002,2024-07-01,10:00,19:00,Wfh
E0002,2024-07-02,09:00,18:15,Wfh
E0002,2024-07-03,09:15,18:00,Present
E0002,2024-07-04,09:00,18:30,Wfh
E0002,2024-07-05,,,Absent
E0002 ,2024-07-08,,,Leave
E0002,2024-07-09,,,Absent
E0002,2024-07-10,,,Absent
E0002,2024-07-11,09:00,18:10,Present
E0002,2024-07-12,,,Absent
E0002,2024-07-15,09:30,18:00,Wfh
E0002,2024-07-16,09:00,18:00,Present
E0002,2024-07-17,09:00,18:00,Present
E0002,2024-07-18,09:30,18:00,Present
E0002,2024-07-19,09:10,19:00,Present
E0002,2024-07-22,,,Leave
E0002,2024-07-23,10:00,18:00,Present
E0002,2024-07-24,09:30,18:30,Present
E0002,2024-07-25,,,Absent
E0002,2024-07-26,09:10,18:15,Present
E0002,2024-07-29,09:30,18:00,Wfh
E0002,2024-07-30,09:15,18:00,Present
E0002,2024-07-31,10:00,18:15,Present
E0003,2024-07-01,10:00,18:00,Wfh
E0003,2024-07-02,,,Leave
E0003,2024-07-03,09:15,18:00,Present
E0003,2024-07-04,,,Absent
E0003,2024-07-05,09:15,18:00,Present
E0003,2024-07-08,09:00,19:00,Present
E0003,2024-07-09,10:00,18:00,Present
E0003,2024-07-10,09:15,18:30,Present
E0003,2024-07-11,,,Leave
E0003,2024-07-12,09:00,18:00,Wfh
E0003,2024-07-15,,,Leave
E0003,2024-07-16,09:00,18:00,Present
E0003 ,2024-07-17,09:15,18:10,Wfh
E0003,2024-07-18,,,Absent
E0003,2024-07-19,10:00,18:10,Present
E0003,2024-07-22,,,Absent
E0003,2024-07-23,,,Leave
E0003,2024-07-24,09:30,18:15,Present
E0003,2024-07-25,,,Leave
E0003,2024-07-26,,,Leave
E0003,2024-07-29,,,Leave
E0003,2024-07-30,10:00,18:00,Present
E0003,2024-07-31,09:30,18:00,Wfh
E0004,2024-07-01,09:00,18:15,Present
E0004,2024-07-02,,,Leave
E0004,2024-07-03,09:00,18:10,Present
E0004,2024-07-04,09:10,18:30,Wfh
E0004,2024-07-05,09:15,18:00,Present
E0004,2024-07-08,,,Leave
E0004,2024-07-09,09:10,18:30,Wfh
E0004,2024-07-10,09:00,18:10,Present
E0004,2024-07-11,,,Leave
E0004,2024-07-12,09:10,19:00,Present
E0004,2024-07-15,10:00,18:00,Wfh
E0004,2024-07-16,09:15,19:00,Present
E0004,2024-07-17,,,Absent
E0004,2024-07-18,09:15,18:10,Present
E0004,2024-07-19,09:30,18:15,Present
E0004,2024-07-22,09:30,18:30,Present
E0004,2024-07-23,,,Leave
E0004,2024-07-24,,,Absent
E0004,2024-07-25,09:15,18:00,Wfh
E0004,2024-07-26,,,Absent
E0004,2024-07-29,10:00,18:00,Wfh
E0004,2024-07-30,,,Absent
E0004,2024-07-31,09:15,19:00,Present
E0005,2024-07-01,09:00,18:00,Present
E0005,2024-07-02,09:30,18:00,Present
E0005,2024-07-03,10:00,18:00,Present
E0005,2024-07-04,,,Leave
E0005,2024-07-05,10:00,18:00,Present
E0005,2024-07-08,,,Absent
E0005,2024-07-09,,,Absent
E0005,2024-07-10,,,Absent
E0005,2024-07-11,09:30,18:10,Present
E0005,2024-07-12,09:00,18:15,Wfh
E0005,2024-07-15,,,Absent
E0005,2024-07-16,09:10,18:30,Present
E0005 ,2024-07-17,,,Absent
E0005,2024-07-18,09:00,18:30,Wfh
E0005,2024-07-19,,,Leave
E0005 ,2024-07-22,,,Leave
E0005,2024-07-23,09:15,18:00,Present
E0005,2024-07-24,,,Absent
E0005,2024-07-25,10:00,18:10,Wfh
E0005,2024-07-26,09:00,18:10,Wfh
E0005,2024-07-29,,,Absent
E0005,2024-07-30,09:00,18:00,Wfh
E0005,2024-07-31,09:00,18:15,Present
E0006,2024-07-01,,,Leave
E0006,2024-07-02,09:00,18:00,Present
E0006,2024-07-03,09:00,19:00,Present
E0006,2024-07-04,,,Absent
E0006,2024-07-05,09:15,18:30,Present
E0006,2024-07-08,,,Leave
E0006,2024-07-09,09:15,18:10,Present
E0006,2024-07-10,09:00,18:15,Present
E0006,2024-07-11,09:00,18:30,Present
E0006,2024-07-12,09:00,19:00,Present
E0006,2024-07-15,09:30,18:00,Wfh
E0006,2024-07-16,,,Leave
E0006,2024-07-17,,,Absent
E0006,2024-07-18,09:30,18:00,Present
E0006,2024-07-19,,,Absent
E0006,2024-07-22,09:15,18:10,Present
E0006,2024-07-23,09:15,19:00,Present
E0006,2024-07-24,09:15,19:00,Present
E0006,2024-07-25,09:30,18:15,Present
E0006,2024-07-26,10:00,19:00,Present
E0006,2024-07-29,09:00,18:00,Present
E0006,2024-07-30,,,Absent
E0006,2024-07-31,09:15,18:00,Present
E0007,2024-07-01,09:30,18:00,Wfh
E0007,2024-07-02,09:00,19:00,Present
E0007,2024-07-03,,,Absent
E0007,2024-07-04,09:10,18:00,Present
E0007,2024-07-05,09:00,18:10,Present
E0007,2024-07-08,10:00,18:10,Present
E0007,2024-07-09,09:00,18:15,Present
E0007,2024-07-10,09:10,18:15,Present
E0007,2024-07-11,10:00,18:00,Present
E0007,2024-07-12,09:00,18:30,Present
E0007,2024-07-15,,,Leave
E0007,2024-07-16,,,Leave
E0007,2024-07-17,09:10,18:30,Wfh
E0007,2024-07-18,,,Leave
E0007,2024-07-19,09:00,18:00,Present
E0007,2024-07-22,09:00,18:30,Present
E0007,2024-07-23,09:30,18:00,Wfh
E0007,2024-07-24,,,Leave
E0007,2024-07-25,09:10,18:00,Wfh
E0007,2024-07-26,09:10,19:00,Present
E0007,2024-07-29,09:30,18:10,Present
E0007,2024-07-30,09:10,18:10,Wfh
E0007,2024-07-31,09:30,18:00,Present
E0008,2024-07-01,09:00,18:00,Wfh
E0008,2024-07-02,09:30,18:30,Present
E0008,2024-07-03,,,Absent
E0008,2024-07-04,10:00,18:00,Present
E0008,2024-07-05,10:00,18:30,Wfh
E0008,2024-07-08,,,Absent
E0008,2024-07-09,09:10,18:15,Present
E0008,2024-07-10,10:00,19:00,Present
E0008,2024-07-11,,,Leave
E0008,2024-07-12,,,Leave
E0008,2024-07-15,10:00,19:00,Present
E0008,2024-07-16,09:00,18:30,Present
E0008,2024-07-17,,,Absent
E0008,2024-07-18,,,Leave
E0008,2024-07-19,,,Absent
E0008,2024-07-22,,,Leave
E0008,2024-07-23,,,Leave
E0008,2024-07-24,09:00,18:15,Wfh
E0008,2024-07-25,09:00,18:15,Present
E0008,2024-07-26,,,Absent
E0008,2024-07-29,09:10,18:00,Wfh
E0008,2024-07-30,10:00,18:10,Present
E0008,2024-07-31,,,Absent
E0009,2024-07-01,09:00,19:00,Present
E0009,2024-07-02,09:30,18:10,Present
E0009 ,2024-07-03,10:00,18:15,Present
E0009,2024-07-04,09:15,18:30,Present
E0009,2024-07-05,09:10,18:30,Present
E0009,2024-07-08,09:00,18:00,Present
E0009,2024-07-09,,,Leave
E0009,2024-07-10,09:00,18:00,Present
E0009,2024-07-11,09:00,18:10,Present
E0009,2024-07-12,,,Leave
E0009,2024-07-15,09:30,18:15,Present
E0009,2024-07-16,10:00,18:00,Present
